transaction_id,timestamp,monto,moneda,comercio_nombre,comercio_categoria,canal,ciudad,pais,modus_operandi,fraude_confirmado
HIST-001,2026-09-01T09:00:00,430000,CLP,TechStore,tecnologia,telefono,Santiago,Chile,cargo no reconocido y vishing,true
HIST-002,2026-09-01T09:10:00,390000,CLP,TechStore,tecnologia,telefono,Santiago,Chile,cargo no reconocido y vishing,true
HIST-003,2026-09-01T09:20:00,520000,CLP,TechStore,tecnologia,telefono,Santiago,Chile,cargo no reconocido y vishing,true
HIST-004,2026-09-02T11:00:00,120000,CLP,SuperStore,retail,web,Santiago,Chile,cargo no reconocido,false
HIST-005,2026-09-02T12:30:00,470000,CLP,TechStore,tecnologia,telefono,Santiago,Chile,cargo no reconocido y vishing,true
HIST-006,2026-09-03T08:00:00,460000,CLP,TechStore,tecnologia,telefono,Santiago,Chile,cargo no reconocido y vishing,true
HIST-007,2026-09-04T14:15:00,86000,CLP,TravelNow,viajes,web,Valparaiso,Chile,phishing,false
HIST-008,2026-09-04T22:40:00,510000,CLP,ElectroMarket,tecnologia,telefono,Santiago,Chile,cargo no reconocido y vishing,true
HIST-009,2026-09-05T18:05:00,250000,CLP,TechStore,tecnologia,telefono,Santiago,Chile,cargo no reconocido y vishing,true
HIST-010,2026-09-06T20:30:00,280000,CLP,SuperStore,retail,app,Valparaiso,Chile,consulta de saldo,false
RUN20260909032742-TX-001,2026-09-08T10:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,Compra desconocida y llamada fraudulenta para solicitar transferencia,true
RUN20260909032742-TX-002,2026-09-08T10:05:00,0,CLP,TechStore,desconocido,telefono,,,vishing,true
RUN20260909032742-TX-003,2026-09-08T10:10:00,0,CLP,TechStore,e-commerce,telefono,,,llamada de soporte falsa para solicitar transferencia por compra no reconocida,true
RUN20260909032742-TX-004,2026-09-08T10:15:00,0,CLP,TechStore,desconocido,telefono,,,compra no reconocida y solicitud de transferencia,true
RUN20260909032742-TX-005,2026-09-08T10:20:00,470000.0,CLP,TechStore,e-commerce,telefono,,,Solicitud de codigo OTP por telefono,true
RUN20260909033431-TX-001,2026-09-08T10:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,llamada para solicitar transferencia para recuperar dinero,true
RUN20260909033431-TX-002,2026-09-08T10:05:00,0,CLP,TechStore,desconocido,telefono,,,vishing con validacion de codigo para compra no reconocida,true
RUN20260909033431-TX-003,2026-09-08T10:10:00,0,CLP,TechStore,e-commerce,telefono,,,Llamada de soporte falsa solicitando transferencia para recuperar compra no reconocida,true
RUN20260909033431-TX-004,2026-09-08T10:15:00,0,CLP,TechStore,desconocido,telefono,,,compra no reconocida y solicitud de transferencia,true
RUN20260909033431-TX-005,2026-09-08T10:20:00,470000.0,CLP,TechStore,e-commerce,telefono,,,Solicitud de codigo OTP mediante llamada telefonica,true
RUN20260908161135-TX-001,2026-09-08T10:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,compra no reconocida y llamada para solicitar transferencia,true
RUN20260908161135-TX-002,2026-09-08T10:05:00,0,CLP,TechStore,desconocido,telefono,,,llamada falsa pidiendo validar un código para compra no reconocida,true
RUN20260908161135-TX-003,2026-09-08T10:10:00,0,CLP,TechStore,e-commerce,telefono,,,llamada de soporte falsa para solicitar transferencia por compra no reconocida,true
RUN20260908161135-TX-004,2026-09-08T10:15:00,0,CLP,TechStore,desconocido,telefono,,,compra no reconocida y solicitud de transferencia,true
RUN20260908161135-TX-005,2026-09-08T10:20:00,470000.0,CLP,TechStore,e-commerce,telefono,,,Solicitud de codigo OTP por telefono para aprobar compra no reconocida,true
RUN20260908161303-TX-001,2026-09-08T10:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,llamada para solicitar transferencia para recuperar dinero,true
RUN20260908161303-TX-002,2026-09-08T10:05:00,0,CLP,TechStore,desconocido,telefono,,,vishing con validacion de codigo para compra no reconocida,true
RUN20260908161303-TX-003,2026-09-08T10:10:00,0,CLP,TechStore,e-commerce,telefono,,,Llamada de soporte falsa solicitando transferencia para recuperar compra no reconocida,true
RUN20260908161303-TX-004,2026-09-08T10:15:00,0,CLP,TechStore,desconocido,telefono,,,compra no reconocida y solicitud de transferencia,true
RUN20260908161303-TX-005,2026-09-08T10:20:00,470000.0,CLP,TechStore,e-commerce,telefono,,,Solicitud de codigo OTP para compra no reconocida,true
RUN20260908161720-TX-001,2026-09-08T10:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,llamada fraudulenta para solicitar transferencia,true
RUN20260908161720-TX-002,2026-09-08T10:05:00,0,CLP,TechStore,desconocido,telefono,,,vishing con validación de código para compra no reconocida,true
RUN20260908161720-TX-003,2026-09-08T10:10:00,0,CLP,TechStore,e-commerce,telefono,,,llamada de soporte falsa solicitando transferencia para recuperar compra no reconocida,true
RUN20260908161720-TX-004,2026-09-08T10:15:00,0,CLP,TechStore,desconocido,telefono,,,compra no reconocida y solicitud de transferencia,true
RUN20260908161720-TX-005,2026-09-08T10:20:00,470000.0,CLP,TechStore,e-commerce,telefono,,,Ingenieria social pidiendo codigo OTP para compra no reconocida,true
RUN20260908161841-TX-001,2026-09-08T10:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,llamada para solicitar transferencia,true
RUN20260908161841-TX-002,2026-09-08T10:05:00,0,CLP,TechStore,desconocido,telefono,,,llamada falsa del banco para validar código,true
RUN20260908161841-TX-003,2026-09-08T10:10:00,0,CLP,TechStore,e-commerce,telefono,,,llamada de soporte falsa para solicitar transferencia,true
RUN20260908161841-TX-004,2026-09-08T10:15:00,0,CLP,TechStore,desconocido,telefono,,,compra no reconocida y solicitud de transferencia,true
RUN20260908161841-TX-005,2026-09-08T10:20:00,470000.0,CLP,TechStore,e-commerce,telefono,,,Solicitud de código OTP por teléfono fingiendo resolver compra no reconocida,true
RUN20260908162139-TX-001,2026-09-08T10:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,llamada para solicitar transferencia y desconocido de compra,true
RUN20260908162139-TX-002,2026-09-08T10:05:00,0,CLP,TechStore,desconocido,telefono,,,vishing con validacion de codigo para compra no reconocida,true
RUN20260908162139-TX-003,2026-09-08T10:10:00,0,CLP,TechStore,e-commerce,telefono,,,Llamada de soporte falsa solicitando transferencia para recuperar compra no reconocida,true
RUN20260908162139-TX-004,2026-09-08T10:15:00,0,CLP,TechStore,desconocido,telefono,,,compra no reconocida y solicitud de transferencia,true
RUN20260908162139-TX-005,2026-09-08T10:20:00,470000.0,CLP,TechStore,e-commerce,telefono,,,Solicitud de codigo OTP por telefono para compra no reconocida,true
RUN20260908162742-TX-001,2026-09-08T10:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,compra no reconocida y llamada solicitando transferencia,true
RUN20260908162742-TX-002,2026-09-08T10:05:00,0,CLP,TechStore,desconocido,telefono,,,vishing con validación de código,true
RUN20260908162742-TX-003,2026-09-08T10:10:00,0,CLP,TechStore,e-commerce,telefono,,,Llamada de soporte falsa solicitando transferencia para recuperar una compra no reconocida,true
RUN20260908162742-TX-004,2026-09-08T10:15:00,0,CLP,TechStore,desconocido,telefono,,,compra no reconocida y solicitud de transferencia,true
RUN20260908162742-TX-005,2026-09-08T10:20:00,470000.0,CLP,TechStore,e-commerce,telefono,,,Ingenieria social pidiendo codigo OTP para compra no reconocida,true
RUN20260909111522-TX-001,2026-09-09T11:00:00,450000.0,CLP,TechStore,e-commerce,telefono,,,compra no reconocida y llamada para solicitar transferencia,true
RUN20260909111522-TX-002,2026-09-09T11:05:00,0.0,CLP,TechStore,desconocido,telefono,,,vishing con validación de código para compra no reconocida,true
RUN20260909111522-TX-003,2026-09-09T11:10:00,0.0,CLP,TechStore,e-commerce,telefono,,,llamada de soporte falsa para solicitar transferencia por compra no reconocida,true
